period,factor,start_date,end_date,observations,annualized_mean,annualized_volatility,sharpe_zero_rf,max_drawdown,positive_month_ratio,newey_west_mean_tstat
1990-2006,market_excess,1990-01-31,2006-12-31,204,0.07415882352941175,0.1439560909241766,0.5151489114029366,-0.4995921938460802,0.6225490196078431,2.233282042021953
1990-2006,size,1990-01-31,2006-12-31,204,0.026041176470588227,0.11823591202547104,0.22024760518596317,-0.4209884985412773,0.5049019607843137,0.9678366331173203
1990-2006,value,1990-01-31,2006-12-31,204,0.056464705882352945,0.10745967301389782,0.5254501926043487,-0.39867294174775625,0.5686274509803921,1.7278195108591912
1990-2006,profitability,1990-01-31,2006-12-31,204,0.04587647058823529,0.11013723326233031,0.4165391596406316,-0.41775163976668384,0.5882352941176471,1.5298365998579069
1990-2006,investment,1990-01-31,2006-12-31,204,0.04223529411764705,0.08091279800442007,0.5219853367985104,-0.1721397353915699,0.5049019607843137,1.9573896908189767
1990-2006,momentum,1990-01-31,2006-12-31,204,0.09881176470588235,0.16371062535890646,0.6035757574638487,-0.3182720672082152,0.6274509803921569,2.7620244826616953
2007-2019,market_excess,2007-01-31,2019-12-31,156,0.0894846153846154,0.15019904271253456,0.595773540021022,-0.5142486365713786,0.6666666666666666,1.9126568951036433
2007-2019,size,2007-01-31,2019-12-31,156,0.001592307692307694,0.08214048859122376,0.019385174347232,-0.2026801837441099,0.5384615384615384,0.07932280920779941
2007-2019,value,2007-01-31,2019-12-31,156,-0.030438461538461546,0.09189425131267798,-0.3312335766781765,-0.3897683662630326,0.38461538461538464,-1.200861710861785
2007-2019,profitability,2007-01-31,2019-12-31,156,0.031738461538461535,0.05410411890403662,0.5866182128343204,-0.121216174640559,0.5833333333333334,1.9237341414745004
2007-2019,investment,2007-01-31,2019-12-31,156,-0.0012538461538461525,0.050180325299328234,-0.0249868080042705,-0.19579283600537922,0.5,-0.08559819249261004
2007-2019,momentum,2007-01-31,2019-12-31,156,0.006153846153846152,0.16353762381172446,0.037629543651257126,-0.5784912380604277,0.5641025641025641,0.11276798523681414
2020-latest,market_excess,2020-01-31,2026-05-31,77,0.1346961038961039,0.1780904603595791,0.7563353119765176,-0.2526049814917599,0.6103896103896104,2.310291318490104
2020-latest,size,2020-01-31,2026-05-31,77,-0.023049350649350653,0.11226103515321127,-0.20531924204950924,-0.3276912581917899,0.38961038961038963,-0.491753143588476
2020-latest,value,2020-01-31,2026-05-31,77,0.019636363636363636,0.15089364231758087,0.130133803749237,-0.3373345918293883,0.45454545454545453,0.26893954967631956
2020-latest,profitability,2020-01-31,2026-05-31,77,0.024311688311688312,0.09694789272046693,0.25077067308504586,-0.22548736671737513,0.5714285714285714,0.6270133830205283
2020-latest,investment,2020-01-31,2026-05-31,77,-0.0005922077922077881,0.09928479965353189,-0.005964737747111133,-0.2721424977783845,0.44155844155844154,-0.014103769588092663
2020-latest,momentum,2020-01-31,2026-05-31,77,0.04926233766233765,0.14375296679157867,0.34268745029632,-0.25415593218551336,0.5974025974025974,0.9297056113327865
